RouteDataID,CountryNum,StateNum,Route,RPID,Year,AOU,Count10,Count20,Count30,Count40,Count50,StopTotal,SpeciesTotal
6165571,840,55,001,101,1968,02730,0   ,0   ,0   ,0   ,1   ,1 ,1   
6165571,840,55,001,101,1968,04740,2   ,5   ,16  ,20  ,3   ,18,46  
6165571,840,55,001,101,1968,04860,0   ,3   ,0   ,0   ,2   ,3 ,5   
6165571,840,55,001,101,1968,05011,2   ,2   ,0   ,0   ,2   ,5 ,6   
6165571,840,55,001,101,1968,05100,0   ,0   ,0   ,2   ,2   ,2 ,4   
6165571,840,55,001,101,1968,05190,0   ,0   ,0   ,0   ,2   ,1 ,2   
6165571,840,55,001,101,1968,05620,1   ,4   ,3   ,2   ,1   ,11,11  
6165571,840,55,001,101,1968,05730,0   ,0   ,0   ,1   ,0   ,1 ,1   
6165571,840,55,001,101,1968,05738,4   ,11  ,4   ,3   ,3   ,16,25  
6165571,840,55,001,101,1968,06220,0   ,0   ,0   ,0   ,4   ,4 ,4   
6165571,840,55,001,101,1968,07020,12  ,8   ,12  ,7   ,3   ,26,42  
6169395,840,55,001,101,1969,02730,6   ,0   ,0   ,8   ,6   ,5 ,20  
6169395,840,55,001,101,1969,03160,5   ,0   ,0   ,0   ,0   ,1 ,5   
6169395,840,55,001,101,1969,03250,0   ,3   ,1   ,0   ,0   ,2 ,4   
6169395,840,55,001,101,1969,03370,0   ,0   ,2   ,0   ,0   ,1 ,2   
6169395,840,55,001,101,1969,03490,0   ,0   ,0   ,2   ,0   ,1 ,2   
6169395,840,55,001,101,1969,03600,0   ,0   ,0   ,0   ,1   ,1 ,1   
6169395,840,55,001,101,1969,04130,1   ,0   ,0   ,0   ,0   ,1 ,1   
6169395,840,55,001,101,1969,04740,0   ,12  ,27  ,0   ,5   ,10,44  
6169395,840,55,001,101,1969,04860,0   ,0   ,0   ,2   ,2   ,2 ,4   
6169395,840,55,001,101,1969,05011,0   ,3   ,0   ,6   ,0   ,5 ,9   
6169395,840,55,001,101,1969,05100,0   ,0   ,7   ,8   ,0   ,4 ,15  
6169395,840,55,001,101,1969,05620,0   ,5   ,3   ,0   ,0   ,3 ,8   
6169395,840,55,001,101,1969,05738,2   ,6   ,9   ,0   ,6   ,9 ,23  
6169395,840,55,001,101,1969,06220,0   ,0   ,2   ,0   ,0   ,2 ,2   
6169395,840,55,001,101,1969,07020,0   ,6   ,9   ,5   ,0   ,11,20  
6171739,840,55,001,101,1970,02730,0   ,0   ,0   ,4   ,0   ,1 ,4   
6171739,840,55,001,101,1970,03370,0   ,0   ,0   ,1   ,0   ,1 ,1   
6171739,840,55,001,101,1970,03550,0   ,0   ,0   ,0   ,2   ,1 ,2   
6171739,840,55,001,101,1970,04740,8   ,38  ,18  ,9   ,0   ,16,73  
6171739,840,55,001,101,1970,04860,0   ,7   ,0   ,0   ,0   ,1 ,7   
6171739,840,55,001,101,1970,05011,4   ,0   ,3   ,5   ,3   ,9 ,15  
6171739,840,55,001,101,1970,05100,0   ,0   ,2   ,6   ,3   ,4 ,11  
6171739,840,55,001,101,1970,05620,8   ,4   ,8   ,23  ,31  ,25,74  
6171739,840,55,001,101,1970,05738,15  ,14  ,10  ,16  ,0   ,21,55  
6171739,840,55,001,101,1970,06220,0   ,1   ,0   ,1   ,0   ,2 ,2   
6171739,840,55,001,101,1970,07020,5   ,1   ,3   ,4   ,8   ,16,21  
6176289,840,55,001,101,1972,01320,6   ,0   ,0   ,0   ,0   ,2 ,6   
6176289,840,55,001,101,1972,02730,3   ,0   ,0   ,0   ,0   ,1 ,3   
6176289,840,55,001,101,1972,02882,0   ,0   ,0   ,8   ,0   ,2 ,8   
6176289,840,55,001,101,1972,03160,33  ,52  ,0   ,3   ,0   ,10,88  
6176289,840,55,001,101,1972,03250,0   ,3   ,0   ,0   ,0   ,1 ,3   
6176289,840,55,001,101,1972,03370,0   ,2   ,0   ,0   ,0   ,2 ,2   
6176289,840,55,001,101,1972,03550,0   ,0   ,2   ,0   ,0   ,1 ,2   
6176289,840,55,001,101,1972,04470,1   ,0   ,0   ,0   ,0   ,1 ,1   
6176289,840,55,001,101,1972,04570,0   ,1   ,0   ,0   ,0   ,1 ,1   
6176289,840,55,001,101,1972,04740,1   ,8   ,4   ,8   ,9   ,13,30  
6176289,840,55,001,101,1972,04860,0   ,7   ,1   ,0   ,0   ,2 ,8   
6176289,840,55,001,101,1972,04930,0   ,0   ,0   ,3   ,0   ,1 ,3   
6176289,840,55,001,101,1972,04980,0   ,0   ,0   ,0   ,11  ,1 ,11  
6176289,840,55,001,101,1972,05011,0   ,0   ,0   ,4   ,0   ,3 ,4   
6176289,840,55,001,101,1972,05100,0   ,1   ,8   ,7   ,0   ,3 ,16  
6176289,840,55,001,101,1972,05620,0   ,0   ,0   ,0   ,9   ,3 ,9   
6176289,840,55,001,101,1972,05730,0   ,0   ,3   ,0   ,0   ,2 ,3   
6176289,840,55,001,101,1972,05738,3   ,0   ,4   ,0   ,5   ,6 ,12  
6176289,840,55,001,101,1972,06220,0   ,2   ,1   ,0   ,1   ,4 ,4   
6176289,840,55,001,101,1972,07020,2   ,1   ,0   ,0   ,0   ,3 ,3   
6176733,840,55,001,101,1973,01320,2   ,8   ,0   ,0   ,0   ,3 ,10  
6176733,840,55,001,101,1973,01410,0   ,2   ,0   ,0   ,0   ,1 ,2   
6176733,840,55,001,101,1973,02730,1   ,3   ,0   ,0   ,8   ,5 ,12  
6176733,840,55,001,101,1973,02882,0   ,0   ,0   ,3   ,0   ,1 ,3   
6176733,840,55,001,101,1973,03160,4   ,0   ,0   ,0   ,5   ,3 ,9   
6176733,840,55,001,101,1973,03250,0   ,0   ,0   ,2   ,0   ,1 ,2   
6176733,840,55,001,101,1973,03370,0   ,0   ,2   ,0   ,0   ,2 ,2   
6176733,840,55,001,101,1973,03490,0   ,0   ,0   ,3   ,0   ,2 ,3   
6176733,840,55,001,101,1973,03550,0   ,0   ,0   ,0   ,1   ,1 ,1   
