Common.Name,Scientific.Name,Code,Audubon.Habitat.Guild,Habitat,Start.Date,End.Date,Type,Vagrant,Group,Background,Threshold,Drop.BCR,Drop.from.M,Add.to.M,BCR.Mask,Season,Generation.Time,Dispersal.Distance,Dispersal.Rate
Abert's Towhee,Melozone aberti,ABTO,Sh,D,1,366,resident,8,Aridlands,background_jan_dec,mo,,,,,Breeding,2,3,1.5
Acadian Flycatcher,Empidonax virescens,ACFL,Wd,F-E,152,213,breeding,2,Eastern.Forests,background_jun_jul,custom,,"6,10,17",,"33,34,16,43,44,45,47,48,50,55,56,57,64,66,65,52,49,58,59,60,61,54,45,53,47,46,50,48,51,9,10",Breeding,1,3,3
Acorn Woodpecker,Melanerpes formicivorus,ACWO,Wd,F-W,1,366,resident,2,Western.Forests,background_jan_dec,tss,,,,,Breeding,1.5,3,2
Alder Flycatcher,Empidonax alnorum,ALFL,Wet,"F-E,F-B",152,213,breeding,2,Boreal.Forests,background_jun_jul,tss,,,,,Breeding,1,3,3
Allen's Hummingbird,Selasphorus sasin,ALHU,Sh,D,152,182,two-season,2,Aridlands,background_jun,tss,5,5,"34, 43",,Breeding,2,14.5,7.25
Altamira Oriole,Icterus gularis,ALOR,Wd,F-S,1,366,resident,2,Subtropical.Forests,background_jan_dec,om_10,,,,"31,33,34,40,41,42,43,44,47",Breeding,1,3,3
American Avocet,Recurvirostra americana,AMAV,Wet,GEN,152,213,two-season,15,Marshlands,background_jun_jul,mk,"14, 15, 27, 28, 29, 30",,"2, 4, 5",,Breeding,1,14.5,14.5
American Bittern,Botaurus lentiginosus,AMBI,Wet,M,152,213,two-season,8,Marshlands,background_jun_jul,tss,"4, 5, 6, 7",,2,"1, 2, 3, 4, 5",Breeding,1,37,37
American Black Duck,Anas rubripes,ABDU,Wet,F-B,152,213,two-season,2,Waterbirds,background_jun_jul,om_10,"6,24,22,11",,"1,2,4,10,5,9","1,2,4,5,10",Breeding,1,3,3
American Coot,Fulica americana,AMCO,Wet,M,152,213,two-season,2,Marshlands,background_jun_jul,tss,"4, 5, 7, 8",,2,"1, 2, 4, 5",Breeding,1,14.5,14.5
American Crow,Corvus brachyrhynchos,AMCR,Var,GEN,152,213,two-season,2,Generalists,background_jun_jul,custom,,,,"33,36,34,35 38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,56,57,58,59,60,61,65,66,2,4",Breeding,2,3,1.5
American Dipper,Cinclus mexicanus,AMDI,Wet,"F-W,F-B",1,366,resident,2,Western.Forests,background_jan_dec,tss,,,,"1,3,7",Breeding,1,14.5,14.5
American Golden-Plover,Pluvialis dominica,AMGP,Gr,A,152,182,breeding,2,Waterbirds,background_jun,mk,"8,11,22,23",,,7,Breeding,1,3,3
American Goldfinch,Spinus tristis,AMGO,Var,"F-W,F-E",152,213,two-season,2,Generalists,background_jun_jul,om_10,"3,4,34,35,36",,"1,2,4",,Breeding,0.9,3,3.333333333
American Kestrel,Falco sparverius,AMKE,Gr,GEN,152,213,two-season,2,Generalists,background_jun_jul,om_10,,,,,Breeding,1,14.5,14.5
American Oystercatcher,Haematopus palliatus,AMOY,Wet,C,152,213,two-season,2,Coastal,background_jun_jul,custom,,,,"5,1,2",Breeding,3.5,14.5,4.142857143
American Pipit,Anthus rubescens,AMPI,Gr,A,152,213,two-season,9,Arctic,background_jun_jul,mk,100,,"27, 43","7, 8",Breeding,1,37,37
American Redstart,Setophaga ruticilla,AMRE,Wd,"F-E,F-W,F-B",152,213,two-season,11,Boreal.Forests,background_jun_jul,custom,,,,"1,2",Breeding,1,3,3
American Robin,Turdus migratorius,AMRO,Wd,GEN,152,213,two-season,2,Generalists,background_jun_jul,custom,,,,,Breeding,1,3,3
American Three-toed Woodpecker,Picoides dorsalis,ATTW,Wd,F-B,1,366,resident,2,Boreal.Forests,background_jan_dec,om_10,"15,33,33",,,"15,33,33",Breeding,1,3,3
American Tree Sparrow,Spizella arborea,ATSP,Sh,"A,F-B",152,213,two-season,5,Arctic,background_jun_jul,om_10,"13, 100",,,"9, 10, 11, 14, 16",Breeding,1,3,3
American White Pelican,Pelecanus erythrorhynchos,AWPE,Wet,GEN,152,213,two-season,9,Marshlands,background_jun_jul,tss,"5, 6, 8, 12, 13, 15, 21, 22, 23, 24, 25, 26, 27, 30, 31, 33, 34, 35, 36, 100",,"2, 4","1, 2, 4, 5",Breeding,3,37,12.33333333
